EIGENVALUE REPORT
 
P S A T  2.1.11
 
Author:  Federico Milano, (c) 2002-2019
e-mail:  federico.milano@ucd.ie
website: faraday1.ucd.ie/psat.html
 
File:  C:\Users\Acer\Desktop\final year project\energy function\TEF_Framework\TEF Implementation\d_case9
Date:  07-Feb-2026 18:25:59


STATE MATRIX EIGENVALUES

Eigevalue      Most Associated States      Real part      Imag. Part     Pseudo-Freq.   Frequency      
Eig As # 8     4e-05          0              1e-05          0.00172        0.00061       
Eig As # 9     4e-05          0              1e-05          0.00172        0.00061       
Eig As #10     0.00013        0              0              0.08064        0.02675       
Eig As #11     0.00013        0              0              0.08064        0.02675       
Eig As #12     0.0003         0              7e-05          0.32109        0.10942       
Eig As #13     0.0003         0              7e-05          0.32109        0.10942       
Eig As #14     0.02367        0              2e-05          0.03262        0.01202       
Eig As #15     0.02367        0              2e-05          0.03262        0.01202       
Eig As #16     0              0              2e-05          0.00074        0.00437       
Eig As #17     0.00144        0              1e-05          5e-05          0.00963       
Eig As #18     0.2258         0              0.00013        0.00563        0.07144       
Eig As #19     0.2258         0              0.00013        0.00563        0.07144       
Eig As #20     1e-05          0              0              0              0.00094       
Eig As #21     0.25141        0              4e-05          0.00174        0.04079       
Eig As #22     0.25141        0              4e-05          0.00174        0.04079       
Eig As #23     0.00346        0              0.00021        0.00808        0.27769       
Eig As #24     0.00346        0              0.00021        0.00808        0.27769       
Eig As #25     0              0              0              0              0             
Eig As #26     0              1              0              0              0             

PARTICIPATION FACTORS (Euclidean norm)

               vf_Exc_1       vm_Exc_2       vr1_Exc_2      vr2_Exc_2      vf_Exc_2       

Eig As # 1     0              0.32142        0              0              0             
Eig As # 2     0              0.39           0              0              0             
Eig As # 3     0              0.28859        0              0              0             
Eig As # 4     8e-05          0              1e-05          0              0             
Eig As # 5     1e-05          0              1e-05          0              0             
Eig As # 6     0.008          1e-05          0.00167        0.00033        0.00169       
Eig As # 7     0.008          1e-05          0.00167        0.00033        0.00169       
Eig As # 8     0.00198        2e-05          0.0027         0.00095        0.00311       
Eig As # 9     0.00198        2e-05          0.0027         0.00095        0.00311       
Eig As #10     0.07285        0.00012        0.34076        0.11539        0.31428       
Eig As #11     0.07285        0.00012        0.34076        0.11539        0.31428       
Eig As #12     0.292          4e-05          0.06179        0.02149        0.05735       
Eig As #13     0.292          4e-05          0.06179        0.02149        0.05735       
Eig As #14     0.02985        2e-05          0.02319        0.00873        0.02167       
Eig As #15     0.02985        2e-05          0.02319        0.00873        0.02167       
Eig As #16     4e-05          2e-05          0.00056        0.00364        3e-05         
Eig As #17     3e-05          1e-05          4e-05          0.00924        3e-05         
Eig As #18     0.01921        0.00024        0.0102         0.12192        0.03278       
Eig As #19     0.01921        0.00024        0.0102         0.12192        0.03278       
Eig As #20     0.00014        0              0              0.00037        5e-05         
Eig As #21     0.00931        0.00017        0.00731        0.14736        0.03364       
Eig As #22     0.00931        0.00017        0.00731        0.14736        0.03364       
Eig As #23     0.06053        8e-05          0.00412        0.1073         0.02339       
Eig As #24     0.06053        8e-05          0.00412        0.1073         0.02339       
Eig As #25     0              0              0              0              0             
Eig As #26     0              0              0              0              0             

PARTICIPATION FACTORS (Euclidean norm)

               vm_Exc_3       vr1_Exc_3      vr2_Exc_3      vf_Exc_3       tg_Tg_1        

Eig As # 1     0.41107        0              0              0              0             
Eig As # 2     0.00555        0              0              0              0             
Eig As # 3     0.58338        0              0              0              0             
Eig As # 4     0              0              0              0              0.60526       
Eig As # 5     0              0              0              0              0.00997       
Eig As # 6     0              0.0001         2e-05          0.0001         0.10637       
Eig As # 7     0              0.0001         2e-05          0.0001         0.10637       
Eig As # 8     0              4e-05          2e-05          5e-05          0.02613       
Eig As # 9     0              4e-05          2e-05          5e-05          0.02613       
Eig As #10     0              0.00607        0.002          0.00544        0.00237       
Eig As #11     0              0.00607        0.002          0.00544        0.00237       
Eig As #12     0              0.03418        0.01154        0.0308         0.00652       
Eig As #13     0              0.03418        0.01154        0.0308         0.00652       
Eig As #14     0.0002         0.36604        0.1337         0.33196        0.00124       
Eig As #15     0.0002         0.36604        0.1337         0.33196        0.00124       
Eig As #16     0              0              0              0              0.02511       
Eig As #17     1e-05          8e-05          0.01303        4e-05          0.00775       
Eig As #18     0.00033        0.0141         0.17964        0.0483         0.0003        
Eig As #19     0.00033        0.0141         0.17964        0.0483         0.0003        
Eig As #20     0              0              0              0              0.03464       
Eig As #21     0.00022        0.00862        0.20503        0.0468         0.00012       
Eig As #22     0.00022        0.00862        0.20503        0.0468         0.00012       
Eig As #23     0              8e-05          0.00282        0.00061        0.00061       
Eig As #24     0              8e-05          0.00282        0.00061        0.00061       
Eig As #25     0              0              0              0              0             
Eig As #26     0              0              0              0              0             

PARTICIPATION FACTORS (Euclidean norm)

               tg_Tg_2        

Eig As # 1     0             
Eig As # 2     0             
Eig As # 3     0             
Eig As # 4     0.00139       
Eig As # 5     0.91492       
Eig As # 6     0.00066       
Eig As # 7     0.00066       
Eig As # 8     0.00634       
Eig As # 9     0.00634       
Eig As #10     5e-05         
Eig As #11     5e-05         
Eig As #12     0.00015       
Eig As #13     0.00015       
Eig As #14     6e-05         
Eig As #15     6e-05         
Eig As #16     3e-05         
Eig As #17     0.00016       
Eig As #18     1e-05         
Eig As #19     1e-05         
Eig As #20     0.03489       
Eig As #21     1e-05         
Eig As #22     1e-05         
Eig As #23     0.00012       
Eig As #24     0.00012       
Eig As #25     0             
Eig As #26     0             

STATISTICS

DYNAMIC ORDER                 26            
# OF EIGS WITH Re(mu) < 0     25            
# OF EIGS WITH Re(mu) > 0     0             
# OF REAL EIGS                10            
# OF COMPLEX PAIRS            8             
# OF ZERO EIGS                1             

